Gasto_Vida,Gasto_Vehiculos,Gasto_Otros,Tipo_Familia,Tipo_Pareja,Tipo_Soltero,Educacion_Superior,Educacion_Media,Educacion_Baja,Poblacion_Empresario,Poblacion_Funcionario,Poblacion_Trabajador_Cualificado,Poblacion_Trabajador_No_Cualificado,Vivienda_Propiedad,Vivienda_Alquiler,Medico_Seguro_Privado,Medico_Seguridad_Social,Ingresos_Mas_De_40000,Ingresos_De_20000_Hasta_40000,Ingresos_Hasta_20000,Edad,Anio Alta,Sexo_Mujer,Productos_Vida_1,Productos_Vida_2,Productos_Vida_3,Productos_Vida_4,Productos_Vida_8,Productos_Vehiculos_1,Productos_Vehiculos_2,Productos_Vehiculos_3,Productos_Vehiculos_4,Productos_Vehiculos_5,Productos_Vehiculos_6,Productos_Vehiculos_7,Productos_Vehiculos_8,Productos_Vehiculos_10,Productos_Otros_1,Productos_Otros_2,Productos_Otros_3,Productos_Otros_4,Productos_Otros_5,Productos_Otros_6,Productos_Otros_7,Productos_Otros_8,Mes Alta_Agosto,Mes Alta_Diciembre,Mes Alta_Enero,Mes Alta_Febrero,Mes Alta_Julio,Mes Alta_Junio,Mes Alta_Marzo,Mes Alta_Mayo,Mes Alta_Noviembre,Mes Alta_Octubre,Mes Alta_Septiembre,Dia Semana_Jueves,Dia Semana_Lunes,Dia Semana_Martes,Dia Semana_Miércoles,Dia Semana_Sábado,Dia Semana_Viernes,CompraSeguro,Tipo Archivo
0.0,617.55,0.0,75.1,18.27,6.63,2.75,39.2,58.05,23.7,28.17,21.01,27.13,71.34,28.66,32.77,67.23,2.23,1.47,96.3,55,1989,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,Entrenamiento
973.61,0.0,386.87,62.29,32.55,5.17,40.84,41.12,18.04,37.53,41.51,11.54,9.42,92.04,7.96,43.84,56.16,0.0,3.38,96.62,45,1998,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,Entrenamiento
0.0,3572.01,273.15,46.41,30.94,22.65,7.63,28.36,64.01,5.5,18.3,34.78,41.43,56.37,43.63,17.48,82.52,0.0,1.72,98.28,73,1972,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Entrenamiento
87.91,4558.71,521.66,87.86,12.14,0.0,21.17,56.95,21.87,19.05,57.13,22.28,1.54,93.38,6.62,44.57,55.43,6.76,6.39,86.84,78,1967,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Entrenamiento
0.0,4289.61,0.0,37.63,29.59,32.77,26.98,52.61,20.4,32.17,53.3,1.92,12.61,12.63,87.37,45.32,54.68,21.34,27.01,51.66,68,1976,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Entrenamiento
0.0,0.0,80.27,28.89,37.14,33.97,4.69,41.9,53.42,7.45,26.95,3.08,62.51,65.12,34.88,4.89,95.11,0.0,6.87,93.12,65,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,Entrenamiento
0.0,0.0,0.0,16.23,25.34,58.43,1.27,13.3,85.42,2.98,29.04,25.28,42.7,7.68,92.32,8.49,91.51,0.0,0.0,100.0,61,1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Entrenamiento
0.0,1007.35,329.29,95.51,1.5,2.99,3.42,61.49,35.08,8.33,52.12,31.78,7.77,92.7,7.3,40.29,59.71,0.0,0.0,100.01,38,2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,Entrenamiento
0.0,6712.59,889.95,25.64,74.36,0.0,15.88,84.12,0.0,21.01,78.99,0.0,0.0,100.0,0.0,20.08,79.92,0.0,0.0,100.0,57,1988,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,Entrenamiento
0.0,0.0,212.39,32.99,24.24,42.77,0.0,7.13,92.87,0.0,20.79,42.27,36.93,16.11,83.89,1.91,98.09,0.0,0.0,100.01,40,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Entrenamiento
0.0,0.0,479.53,42.78,57.22,0.0,19.34,37.03,43.63,14.2,71.79,0.0,14.02,34.68,65.32,14.17,85.83,0.0,5.34,94.66,33,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,Entrenamiento
0.0,0.0,47.98,44.14,55.86,0.0,43.63,42.74,13.63,64.25,17.58,0.0,18.16,100.0,0.0,70.7,29.3,16.02,12.17,71.81,43,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,Entrenamiento
0.0,148.68,0.0,56.52,43.48,0.0,0.0,12.79,87.21,22.78,15.83,48.04,13.35,79.05,20.95,0.0,100.0,0.0,0.0,100.0,34,2009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,Entrenamiento
0.0,7616.57,141.65,9.54,18.71,71.75,1.59,2.5,95.9,0.0,15.85,48.87,35.29,5.65,94.35,0.0,100.0,0.0,6.53,93.47,50,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,Entrenamiento
0.0,0.0,451.02,44.12,55.88,0.0,13.13,44.6,42.28,27.74,30.63,27.03,14.59,80.55,19.45,85.94,14.06,0.0,0.0,100.0,79,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,Entrenamiento
0.0,767.45,30.77,16.23,25.34,58.43,1.27,13.3,85.42,2.98,29.04,25.28,42.7,7.68,92.32,8.49,91.51,0.0,0.0,100.0,79,1967,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,Entrenamiento
0.0,936.36,196.87,22.2,47.58,30.22,21.61,58.22,20.17,7.27,67.62,14.05,11.06,7.35,92.65,19.73,80.27,0.0,7.64,92.36,78,1966,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,Entrenamiento
0.0,2175.81,217.73,5.91,62.53,31.56,13.47,44.87,41.66,41.13,19.8,2.23,36.84,74.64,25.36,43.37,56.63,0.0,13.5,86.49,62,1982,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Entrenamiento
0.0,0.0,0.0,70.03,24.69,5.28,14.25,53.02,32.73,20.1,51.2,1.69,27.01,15.4,84.6,13.48,86.52,0.0,0.0,100.01,50,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Entrenamiento
0.0,0.0,0.0,49.25,43.63,7.12,0.0,33.67,66.33,0.0,32.89,29.15,37.96,0.0,100.0,15.93,84.07,0.0,0.0,100.0,51,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Entrenamiento
0.0,3702.36,0.0,71.54,0.0,28.46,0.0,0.0,100.0,0.0,0.0,44.25,55.75,0.0,100.0,2.45,97.55,0.0,0.0,100.0,58,1985,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,Entrenamiento
0.0,0.0,0.0,31.33,0.0,68.67,0.0,25.66,74.34,33.6,27.55,24.76,14.09,0.0,100.0,54.84,45.16,0.0,31.69,68.31,46,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,Entrenamiento
0.0,0.0,0.0,35.7,48.28,16.02,9.73,21.51,68.77,1.89,31.29,22.05,44.78,0.0,100.0,8.78,91.22,0.0,9.59,90.41,51,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,Entrenamiento
0.0,4088.23,716.61,71.08,28.92,0.0,0.0,72.01,27.99,15.04,0.0,0.0,84.96,100.0,0.0,28.46,71.54,0.0,0.0,100.0,79,1964,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,Entrenamiento
103.63,4890.41,724.93,36.87,48.78,14.35,7.51,15.54,76.95,54.09,17.01,16.66,12.24,80.09,19.91,47.95,52.05,0.0,17.63,82.37,75,1971,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,Entrenamiento
0.0,3675.38,1029.11,63.35,7.39,29.26,0.0,67.29,32.71,28.18,20.01,0.0,51.82,100.0,0.0,81.4,18.6,0.0,0.0,100.0,62,1985,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,Entrenamiento
0.0,633.65,0.0,56.52,43.48,0.0,0.0,12.79,87.21,22.78,15.83,48.04,13.35,79.05,20.95,0.0,100.0,0.0,0.0,100.0,48,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,Entrenamiento
0.0,8725.95,503.08,29.56,70.44,0.0,87.51,0.0,12.49,81.31,0.0,0.0,18.7,100.0,0.0,77.26,22.74,0.0,21.57,78.43,52,1991,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0,Entrenamiento
0.0,0.0,0.0,53.52,13.16,33.32,2.38,33.26,64.37,25.75,11.83,26.8,35.63,47.55,52.45,19.74,80.26,5.15,2.95,91.91,57,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,Entrenamiento
167.85,4596.58,494.88,82.72,17.28,0.0,27.77,58.8,13.43,46.26,39.75,13.99,0.0,100.0,0.0,41.52,58.48,0.0,7.91,92.09,78,1966,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Entrenamiento
0.0,2930.08,0.0,3.42,29.65,66.93,7.48,60.84,31.69,11.74,29.95,23.53,34.78,2.83,97.17,38.06,61.94,4.94,6.2,88.87,37,2009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Entrenamiento
0.0,593.09,0.0,2.28,36.2,61.52,17.29,67.19,15.52,9.78,43.13,30.4,16.68,0.0,100.0,43.65,56.35,0.0,0.0,100.0,57,1989,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,Entrenamiento
0.0,4242.84,234.29,61.15,38.85,0.0,0.0,31.32,68.68,20.82,16.78,23.5,38.89,100.0,0.0,21.68,78.32,0.0,0.0,100.0,40,2006,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Entrenamiento
0.0,0.0,0.0,100.0,0.0,0.0,0.0,55.79,44.21,0.0,0.0,46.57,53.43,0.0,100.0,30.98,69.02,0.0,0.0,100.0,77,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,Entrenamiento
0.0,1619.8,463.45,53.1,28.89,18.0,33.12,37.46,29.42,38.49,40.57,1.09,19.85,66.67,33.33,30.42,69.58,4.25,15.39,80.36,53,1992,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,Entrenamiento
0.0,1615.6,461.96,55.79,44.21,0.0,0.0,0.0,100.0,0.0,0.0,54.99,45.01,44.08,55.92,0.0,100.0,0.0,0.0,100.0,37,2009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,Entrenamiento
0.0,0.0,486.25,45.37,54.63,0.0,28.29,45.86,25.85,21.22,55.74,15.47,7.57,80.14,19.86,38.38,61.62,32.8,16.61,50.59,42,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Entrenamiento
0.0,0.0,0.0,25.64,74.36,0.0,15.88,84.12,0.0,21.01,78.99,0.0,0.0,100.0,0.0,20.08,79.92,0.0,0.0,100.0,56,1989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,Entrenamiento
0.0,0.0,416.0,49.28,28.13,22.59,30.79,3.01,66.2,18.89,27.06,38.96,15.08,82.93,17.07,5.91,94.09,0.0,0.0,100.01,59,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Entrenamiento
0.0,0.0,421.89,1.12,62.32,36.56,40.12,29.59,30.29,32.97,52.99,4.85,9.19,55.99,44.01,61.11,38.89,6.06,27.79,66.15,35,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,Entrenamiento
0.0,137.15,0.0,49.38,41.45,9.17,9.31,15.98,74.7,24.51,4.77,49.4,21.31,83.89,16.11,17.4,82.6,1.59,0.0,98.41,73,1972,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,Entrenamiento
0.0,0.0,0.0,53.5,46.5,0.0,41.08,2.78,56.13,4.4,38.37,26.61,30.62,0.0,100.0,29.63,70.37,0.0,10.28,89.72,49,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Entrenamiento
0.0,174.45,0.0,17.7,42.91,39.39,0.0,40.49,59.51,0.0,100.0,0.0,0.0,0.0,100.0,41.95,58.05,0.0,0.0,100.0,78,1969,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,Entrenamiento
396.99,4380.14,168.41,71.11,28.89,0.0,39.7,53.55,6.75,72.88,22.52,3.15,1.45,100.0,0.0,78.98,21.02,6.37,31.99,61.65,67,1976,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,Entrenamiento
0.0,0.0,0.0,84.94,15.06,0.0,91.72,6.88,1.4,63.75,18.6,15.46,2.19,100.0,0.0,45.15,54.85,5.78,57.82,36.4,55,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,Entrenamiento
0.0,1479.62,458.32,66.21,33.79,0.0,0.0,44.75,55.25,0.0,18.5,54.68,26.82,100.0,0.0,0.0,100.0,0.0,0.0,100.0,49,1996,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,Entrenamiento
0.0,704.58,309.01,48.18,20.85,30.98,14.67,26.81,58.52,27.42,35.04,11.48,26.06,41.07,58.93,17.98,82.02,0.0,2.05,97.95,54,1989,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,Entrenamiento
0.0,0.0,40.47,57.75,13.94,28.31,0.0,45.5,54.5,0.0,17.89,23.57,58.54,0.0,100.0,0.0,100.0,0.0,0.0,100.0,56,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,Entrenamiento
0.0,0.0,437.81,33.28,42.27,24.46,0.0,17.9,82.1,9.86,2.02,3.0,85.12,73.99,26.01,0.0,100.0,0.0,0.0,100.0,52,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,Entrenamiento
0.0,3856.76,476.13,55.77,44.23,0.0,0.0,0.0,100.0,0.0,0.0,27.78,72.22,100.0,0.0,17.6,82.4,0.0,0.0,100.0,43,2001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Entrenamiento
