ID_Zona	Tipo_Familia	Tipo_Pareja	Tipo_Soltero	Educacion_Superior	Educacion_Media	Educacion_Baja	Poblacion_Empresario	Poblacion_Funcionario	Poblacion_Trabajador_Cualificado	Poblacion_Trabajador_No_Cualificado	Vivienda_Propiedad	Vivienda_Alquiler	Medico_Seguro_Privado	Medico_Seguridad_Social	Ingresos_Mas_De_40000	Ingresos_De_20000_Hasta_40000	Ingresos_Hasta_20000
Z0000	16.66	25.17	58.17	0.0	80.08	19.92	0.0	0.0	0.0	100.0	0.0	100.0	16.96	83.04	0.0	0.0	100.0
Z0002	54.13	45.87	0.0	40.72	43.42	15.86	70.45	29.55	0.0	0.0	83.52	16.48	78.07	21.93	0.0	55.1	44.9
Z0006	57.29	42.71	0.0	31.15	68.85	0.0	31.51	68.49	0.0	0.0	100.0	0.0	31.89	68.11	0.0	0.0	100.0
Z0007	56.37	14.73	28.91	20.01	40.77	39.21	25.79	22.76	33.59	17.86	0.0	100.0	0.0	100.0	0.0	0.0	100.0
Z0009	100.0	0.0	0.0	100.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0	0.0	33.01	33.3	33.69
Z0010	70.89	29.11	0.0	0.0	16.26	83.74	27.64	19.93	52.42	0.0	54.86	45.14	38.47	61.53	0.0	0.0	100.0
Z0011	46.71	53.29	0.0	39.48	60.52	0.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0	0.0	0.0	42.39	57.61
Z0012	15.06	0.0	84.94	54.5	27.47	18.04	65.17	19.04	8.15	7.64	0.0	100.0	33.46	66.54	0.0	0.0	100.0
Z0016	27.08	65.6	7.32	0.0	26.34	73.66	0.0	53.85	31.58	14.57	17.25	82.75	22.67	77.33	0.0	0.0	100.0
Z0017	9.32	12.02	78.66	79.32	20.68	0.0	59.58	40.42	0.0	0.0	30.88	69.12	25.24	74.76	0.0	0.0	100.0
Z0018	0.0	25.57	74.43	0.0	100.0	0.0	42.27	57.73	0.0	0.0	0.0	100.0	26.52	73.48	0.0	0.0	100.0
Z0022	100.0	0.0	0.0	0.0	100.0	0.0	48.64	0.0	0.0	51.36	100.0	0.0	19.49	80.51	0.0	0.0	100.0
Z0023	52.89	22.16	24.95	0.0	8.37	91.63	0.0	6.06	44.56	49.37	8.78	91.22	1.8	98.2	0.0	0.0	100.0
Z0027	94.44	4.24	1.32	0.0	3.82	96.18	12.05	6.61	56.44	24.9	0.0	100.0	17.41	82.59	0.0	0.0	99.99
Z0028	66.09	18.95	14.96	0.0	28.22	71.78	23.82	8.49	57.56	10.13	0.0	100.0	22.67	77.33	0.0	0.0	100.0
Z0029	42.47	0.0	57.53	0.0	0.0	100.0	0.0	0.0	32.25	67.75	0.0	100.0	8.11	91.89	0.0	0.0	100.0
Z0030	37.21	28.86	33.93	0.0	3.79	96.21	10.5	3.89	83.09	2.51	0.0	100.0	12.68	87.32	0.0	0.0	99.99
Z0035	53.48	34.86	11.66	20.42	21.44	58.14	0.0	39.42	60.58	0.0	81.85	18.15	14.26	85.74	0.0	8.77	91.24
Z0037	17.5	82.5	0.0	0.0	58.06	41.94	0.0	41.27	40.71	18.03	0.0	100.0	21.78	78.22	0.0	0.0	100.0
Z0039	55.76	2.03	42.21	22.51	35.44	42.05	0.0	100.0	0.0	0.0	98.43	1.57	29.41	70.59	0.0	0.0	100.0
Z0042	40.71	59.29	0.0	0.0	0.0	100.0	0.0	0.0	19.93	80.07	0.0	100.0	16.4	83.6	0.0	0.0	100.0
Z0043	18.71	81.29	0.0	0.0	0.0	100.0	0.0	0.0	69.47	30.53	70.15	29.85	0.0	100.0	0.0	0.0	100.0
Z0044	55.49	22.65	21.86	21.35	36.86	41.8	14.96	20.7	15.4	48.95	0.0	100.0	22.06	77.94	0.0	0.0	100.01
Z0047	19.13	30.84	50.04	28.71	52.38	18.91	82.33	0.0	17.67	0.0	100.0	0.0	80.22	19.78	0.0	0.0	100.0
Z0048	20.12	24.33	55.54	37.52	42.65	19.83	85.69	0.0	14.31	0.0	100.0	0.0	81.8	18.2	0.0	0.0	100.0
Z0050	72.7	27.3	0.0	28.29	41.59	30.12	27.86	0.0	0.0	72.14	100.0	0.0	40.65	59.35	0.0	0.0	100.0
Z0051	41.06	58.94	0.0	0.0	34.55	65.45	0.0	32.33	0.0	67.67	0.0	100.0	0.0	100.0	0.0	0.0	100.0
Z0055	100.0	0.0	0.0	0.0	31.01	68.99	0.0	80.91	0.0	19.09	100.0	0.0	0.0	100.0	0.0	16.06	83.94
Z0060	29.0	71.0	0.0	0.0	0.0	100.0	0.0	14.17	39.99	45.84	0.0	100.0	0.0	100.0	0.0	0.0	100.0
Z0063	16.37	71.54	12.1	0.0	42.81	57.19	0.0	42.58	17.54	39.88	29.99	70.01	0.0	100.0	0.0	0.0	100.0
Z0064	44.22	29.01	26.78	0.0	6.32	93.68	0.0	19.64	79.1	1.27	41.8	58.2	0.0	100.0	0.0	0.0	100.0
Z0066	59.83	7.08	33.09	22.15	44.35	33.5	36.81	11.58	14.1	37.51	54.24	45.76	0.0	100.0	0.0	0.0	100.0
Z0067	50.26	30.68	19.06	0.0	28.62	71.38	4.55	6.77	8.46	80.22	6.67	93.33	18.87	81.13	0.0	0.0	99.99
Z0068	39.51	44.89	15.6	0.0	31.93	68.07	0.0	17.84	55.84	26.32	0.0	100.0	16.22	83.78	0.0	0.0	100.0
Z0069	19.09	43.28	37.63	33.82	54.33	11.85	15.44	58.72	3.65	22.18	5.45	94.55	9.09	90.91	0.0	23.45	76.55
Z0071	78.61	21.39	0.0	0.0	41.98	58.02	0.0	0.0	100.0	0.0	0.0	100.0	0.0	100.0	0.0	0.0	100.0
Z0072	32.85	67.15	0.0	0.0	21.88	78.12	0.0	29.0	37.14	33.86	0.0	100.0	0.0	100.0	0.0	0.0	100.0
Z0075	59.88	40.12	0.0	19.11	64.34	16.55	86.76	13.24	0.0	0.0	0.0	100.0	83.76	16.24	0.0	17.32	82.68
Z0076	28.65	56.01	15.34	3.26	41.44	55.3	0.0	41.97	32.62	25.41	0.0	100.0	7.67	92.33	0.0	0.0	100.0
Z0078	45.54	51.17	3.29	0.0	41.74	58.26	30.48	5.45	60.34	3.73	82.59	17.41	0.0	100.0	0.0	0.0	100.0
Z0079	43.81	28.8	27.39	0.0	41.91	58.09	9.54	25.96	52.6	11.89	5.19	94.81	0.0	100.0	0.0	0.0	100.0
Z0082	25.98	45.81	28.22	0.0	80.61	19.39	0.0	31.65	0.0	68.35	100.0	0.0	7.01	92.99	0.0	0.0	100.0
Z0083	19.35	54.42	26.23	6.22	28.24	65.54	0.0	16.27	41.6	42.13	0.0	100.0	11.95	88.05	0.0	0.0	100.0
Z0086	86.54	0.0	13.46	0.0	30.95	69.05	0.0	27.94	29.53	42.53	0.0	100.0	0.0	100.0	0.0	0.0	100.0
Z0087	31.15	68.85	0.0	0.0	28.55	71.45	0.0	26.83	29.97	43.19	25.98	74.02	0.0	100.0	0.0	0.0	100.0
Z0088	43.26	56.74	0.0	42.07	57.93	0.0	32.53	0.0	67.47	0.0	0.0	100.0	57.3	42.7	0.0	0.0	100.0
Z0089	87.61	0.0	12.39	0.0	74.96	25.04	0.0	87.75	0.0	12.25	57.6	42.4	22.65	77.35	0.0	12.45	87.55
Z0091	70.38	29.62	0.0	0.0	9.07	90.93	0.0	4.4	65.48	30.13	72.69	27.31	0.0	100.0	0.0	5.4	94.59
Z0092	58.37	41.63	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	47.06	52.94	0.0	100.0	0.0	0.0	100.0
Z0093	0.0	47.36	52.64	0.0	86.45	13.55	0.0	86.16	0.0	13.84	0.0	100.0	0.0	100.0	0.0	0.0	100.0
Z0095	93.87	6.13	0.0	38.9	34.09	27.01	15.9	19.83	7.01	57.26	66.53	33.47	34.11	65.89	0.0	8.01	91.99
Z0096	16.22	83.78	0.0	50.33	3.24	46.43	3.02	43.15	2.98	50.85	45.52	54.48	29.93	70.07	0.0	41.97	58.03
Z0097	14.33	85.67	0.0	47.59	45.95	6.45	8.2	7.41	36.41	47.98	15.72	84.28	25.95	74.05	0.0	2.17	97.83
Z0098	95.69	0.0	4.31	8.52	0.0	91.48	14.04	45.08	6.66	34.22	0.0	100.0	32.45	67.55	0.0	0.0	100.0
Z0099	46.08	44.44	9.48	24.06	54.25	21.68	16.74	46.75	2.85	33.66	43.31	56.69	30.36	69.64	0.0	3.42	96.57
Z0100	56.83	0.0	43.17	41.22	0.0	58.78	17.38	46.25	2.29	34.07	0.0	100.0	30.43	69.57	0.0	0.0	100.0
Z0101	64.37	31.19	4.43	0.0	66.71	33.29	49.76	13.23	33.18	3.83	0.0	100.0	20.54	79.46	0.0	0.0	100.0
Z0102	51.13	39.99	8.88	0.0	58.42	41.58	0.0	38.34	5.84	55.82	43.84	56.16	0.0	100.0	0.0	0.0	100.0
Z0103	67.89	32.11	0.0	0.0	44.67	55.33	8.49	33.1	38.37	20.04	0.0	100.0	25.49	74.51	0.0	7.55	92.46
Z0104	6.09	35.43	58.48	37.19	43.06	19.76	56.84	38.59	0.0	4.56	58.79	41.21	33.42	66.58	0.0	0.0	100.0
Z0105	31.15	0.0	68.85	0.0	19.24	80.76	43.85	0.0	0.0	56.15	31.56	68.44	12.64	87.36	0.0	0.0	100.0
Z0108	56.56	12.52	30.92	22.34	38.49	39.17	12.63	44.82	12.81	29.74	17.14	82.86	40.95	59.05	0.0	0.0	100.0
Z0110	15.76	66.59	17.65	47.36	29.65	22.99	88.73	2.87	8.39	0.0	100.0	0.0	87.56	12.44	0.0	23.67	76.34
Z0111	32.76	22.24	45.0	12.83	33.45	53.72	69.17	14.97	15.86	0.0	31.37	68.63	54.16	45.84	0.0	0.0	100.0
Z0112	49.21	42.97	7.82	0.0	0.0	100.0	0.0	0.0	14.33	85.67	1.04	98.96	0.0	100.0	0.0	1.26	98.74
Z0114	25.02	41.16	33.82	0.0	0.0	100.0	0.0	0.0	70.57	29.43	7.88	92.12	0.0	100.0	0.0	5.79	94.21
Z0115	21.81	37.28	40.91	0.0	0.0	100.0	0.0	0.0	82.94	17.06	14.48	85.52	0.0	100.0	0.0	5.25	94.75
Z0116	13.25	41.59	45.16	13.07	56.71	30.22	28.79	34.28	6.03	30.9	87.55	12.45	67.72	32.28	0.0	48.72	51.29
Z0117	4.44	30.57	64.98	7.7	15.36	76.93	0.0	7.28	16.96	75.75	2.11	97.89	0.0	100.0	0.0	5.45	94.55
Z0118	48.52	34.69	16.79	38.58	31.07	30.35	72.08	27.92	0.0	0.0	38.64	61.36	41.54	58.46	0.0	0.0	100.0
Z0119	55.2	14.17	30.63	0.0	56.1	43.9	16.04	26.79	15.28	41.89	44.12	55.88	43.8	56.2	0.0	15.28	84.72
Z0120	92.58	7.42	0.0	49.58	8.31	42.11	52.84	29.16	4.82	13.18	52.5	47.5	44.11	55.89	0.0	0.0	100.0
Z0122	59.59	20.74	19.67	27.81	46.41	25.78	49.22	36.47	2.66	11.65	81.3	18.7	44.42	55.58	0.0	4.7	95.3
Z0124	36.89	50.22	12.89	43.32	43.23	13.44	70.71	14.77	14.53	0.0	30.02	69.98	75.6	24.4	31.26	0.0	68.74
Z0126	55.79	44.21	0.0	0.0	0.0	100.0	0.0	0.0	54.99	45.01	44.08	55.92	0.0	100.0	0.0	0.0	100.0
Z0127	95.25	3.51	1.24	1.21	52.42	46.37	5.42	51.35	0.0	43.23	6.49	93.51	1.63	98.37	0.0	0.0	100.0
Z0129	72.37	26.01	1.63	12.88	66.74	20.38	15.01	33.17	49.18	2.63	95.15	4.85	47.12	52.88	0.0	0.0	99.99
Z0130	50.3	41.32	8.38	5.49	50.24	44.27	49.47	22.64	14.99	12.9	77.85	22.15	29.33	70.67	16.39	10.77	72.83
Z0131	66.08	15.82	18.1	18.81	42.57	38.62	3.56	80.82	0.0	15.62	26.32	73.68	1.13	98.87	0.0	0.0	100.01
Z0132	67.95	18.02	14.03	15.5	56.65	27.84	9.14	71.52	0.0	19.35	33.55	66.45	8.52	91.48	0.0	0.0	99.99
Z0133	40.35	43.14	16.51	0.0	33.88	66.12	39.27	0.0	33.29	27.44	0.0	100.0	0.0	100.0	0.0	10.21	89.79
Z0134	57.36	42.64	0.0	39.04	43.12	17.83	56.78	43.22	0.0	0.0	41.7	58.3	85.1	14.9	0.0	19.66	80.34
Z0135	24.8	73.46	1.73	18.95	59.07	21.99	18.01	62.45	0.0	19.54	100.0	0.0	38.47	61.53	0.0	41.77	58.23
Z0136	32.83	61.0	6.17	21.88	60.09	18.03	41.93	53.1	2.42	2.55	41.71	58.29	39.82	60.18	0.0	0.0	100.0
Z0137	100.0	0.0	0.0	0.0	40.49	59.51	0.0	27.04	28.18	44.79	57.49	42.51	70.07	29.93	0.0	0.0	100.0
